Channel,Date,CA hotel target,CA flight target,Cost,Sum_Install,CA_hotel,CA_flight,Total Budget,CA_hotel_log,CA_flight_log,Cost_log,Budget_log,Tier
ios-inMobi App Install,1-Jul,27300,53846,9693,3780,233,259,500000,2.367355921,2.413299764,3.986458213,5.698970004,NORMAL
ios-inMobi App Install,1-Aug,25200,33500,7777.5,3721,148,178,300000,2.170261715,2.250420002,3.89084002,5.477121255,NORMAL
ios-inMobi App Install,1-Sep,29-Jun,42000,#N/A,#N/A,#N/A,#N/A,350000,#N/A,#N/A,#N/A,5.544068044,NORMAL
ios-inMobi App Install,1-Oct,12300,20000,#N/A,#N/A,#N/A,#N/A,300000,#N/A,#N/A,#N/A,5.477121255,NORMAL
ios-inMobi App Install,1-Nov,12900,23000,#N/A,#N/A,#N/A,#N/A,325000,#N/A,#N/A,#N/A,5.511883361,NORMAL
ios-inMobi App Install,1-Dec,14400,24000,#N/A,#N/A,#N/A,#N/A,350000,#N/A,#N/A,#N/A,5.544068044,NORMAL
ios-inMobi App Install,1-Jan,12300,18000,#N/A,#N/A,#N/A,#N/A,320000,#N/A,#N/A,#N/A,5.505149978,NORMAL
ios-inMobi App Install,1-Feb,12900,20500,#N/A,#N/A,#N/A,#N/A,346300,#N/A,#N/A,#N/A,5.539452492,NORMAL
ios-inMobi App Install,1-Mar,14400,23000,#N/A,#N/A,#N/A,#N/A,448100,#N/A,#N/A,#N/A,5.651374944,NORMAL
ios-inMobi App Install,1-Apr,15000,36500,#N/A,#N/A,#N/A,#N/A,629800,#N/A,#N/A,#N/A,5.799202656,NORMAL
ios-inMobi App Install,1-May,22500,34500,1084.6,613,17,32,767400,1.230448921,1.505149978,3.0352696,5.885021795,NORMAL
ios-inMobi App Install,1-Jun,24750,40000,8950.5,4901,187,226,1318450,2.271841607,2.354108439,3.951847297,6.120063665,NORMAL
ios-Mundomedia App Install,1-Mar,14400,23000,701.8,573,24,32,448100,1.380211242,1.505149978,2.846213364,5.651374944,NORMAL
ios-Mundomedia App Install,1-Apr,15000,36500,1796.3,1484,102,88,629800,2.008600172,1.944482672,3.25437887,5.799202656,NORMAL
ios-Mundomedia App Install,1-May,22500,34500,27303.05,18809,371,497,767400,2.56937391,2.696356389,4.436211164,5.885021795,NORMAL
ios-Mundomedia App Install,1-Jun,24750,40000,30454.6,25578,1190,1698,1318450,3.075546961,3.229937686,4.4836529,6.120063665,NORMAL
ios-UAC App Install,1-Jun,29400,41538,858.19,51,1,0,400000,0,#NUM!,2.93358345,5.602059991,NORMAL
ios-UAC App Install,1-Jul,27300,53846,3563.94,8,1,1,500000,0,0,3.551930384,5.698970004,NORMAL
ios-UAC App Install,1-Aug,25200,33500,#N/A,#N/A,#N/A,#N/A,300000,#N/A,#N/A,#N/A,5.477121255,NORMAL
ios-UAC App Install,1-Sep,29-Jun,42000,#N/A,#N/A,#N/A,#N/A,350000,#N/A,#N/A,#N/A,5.544068044,NORMAL
ios-UAC App Install,1-Oct,12300,20000,15044.02,3720,150,133,300000,2.176091259,2.123851641,4.177363902,5.477121255,NORMAL
ios-UAC App Install,1-Nov,12900,23000,37634.84,9746,479,591,325000,2.680335513,2.771587481,4.575590074,5.511883361,NORMAL
ios-UAC App Install,1-Dec,14400,24000,49787.12,25777,1426,1436,350000,3.154119526,3.15715444,4.697117005,5.544068044,NORMAL
ios-UAC App Install,1-Jan,12300,18000,36177.38,25674,1826,2181,320000,3.261500773,3.338655666,4.558437112,5.505149978,NORMAL
ios-UAC App Install,1-Feb,12900,20500,22610.83,24023,1879,2159,346300,3.27392678,3.334252642,4.354316505,5.539452492,NORMAL
ios-UAC App Install,1-Mar,14400,23000,26860.5,28331,2457,2774,448100,3.390405156,3.443106457,4.429114093,5.651374944,NORMAL
ios-UAC App Install,1-Apr,15000,36500,31140.88,34676,3398,3262,629800,3.531223375,3.513483957,4.493330881,5.799202656,NORMAL
ios-UAC App Install,1-May,22500,34500,55507.7,33523,3428,3867,767400,3.535040813,3.587374172,4.744353232,5.885021795,NORMAL
ios-UAC App Install,1-Jun,24750,40000,68579.94,43860,3949,5119,1318450,3.596487134,3.70918513,4.836197101,6.120063665,NORMAL
