"reporting_date","platform","channel_group","total_cost_usd"
"12/2/2016","ios","inMobi App Install",0
"12/2/2016","ios","Facebook DPA",0
"12/2/2016","android","UAC App Install",0
"12/2/2016","ios","UAC App Install",0
"12/2/2016","android","Iron Source App Install",826.2
"12/2/2016","ios","Instagram App Install",0
"12/2/2016","ios","Facebook App Install",115.04
"12/2/2016","ios","BBM App Install",56.4
"12/2/2016","android","Instagram App Install",0
"12/1/2016","android","Glispa App Install",350.9
"12/1/2016","ios","Facebook DPA",0
"12/1/2016","android","BBM App Install",534
"12/1/2016","android","Facebook DPA",0
"12/1/2016","ios","GDN App Install",1826.36
"12/1/2016","ios","BBM App Install",62.4
"12/1/2016","android","Instagram App Install",0
"12/1/2016","ios","UAC App Install",0
"12/1/2016","android","Iron Source App Install",719.1
"12/1/2016","android","inMobi App Install",2977.8
"12/1/2016","android","GDN App Install",5502.27
"12/1/2016","android","UAC App Install",0
"12/1/2016","ios","inMobi App Install",0
"12/1/2016","ios","Facebook App Install",147.36
"12/1/2016","ios","Instagram App Install",0
"12/1/2016","android","Facebook App Install",2833.52
"11/30/2016","android","UAC App Install",0
"11/30/2016","ios","Facebook App Install",169.75
"11/30/2016","android","BBM App Install",714
"11/30/2016","android","Glispa App Install",866.8
"11/30/2016","ios","Instagram App Install",0
"11/30/2016","android","Facebook DPA",0
"11/30/2016","android","Instagram App Install",0
"11/30/2016","ios","GDN App Install",2821.84
"11/30/2016","ios","inMobi App Install",0
"11/30/2016","ios","Facebook DPA",0
"11/30/2016","ios","UAC App Install",0
"11/30/2016","android","Facebook App Install",3488.54
"11/30/2016","android","Iron Source App Install",509.4
"11/30/2016","ios","BBM App Install",49.2
"11/30/2016","android","GDN App Install",10844.1
"11/30/2016","android","inMobi App Install",3256.4
"11/29/2016","android","Instagram App Install",0
"11/29/2016","ios","Facebook App Install",115
"11/29/2016","android","Iron Source App Install",0
"11/29/2016","ios","BBM App Install",70.8
"11/29/2016","ios","Facebook DPA",0
"11/29/2016","android","Facebook App Install",3426.56
"11/29/2016","android","UAC App Install",0
"11/29/2016","ios","GDN App Install",2836.63
"11/29/2016","android","inMobi App Install",3049.2
"11/29/2016","android","BBM App Install",826.8
"11/29/2016","android","Glispa App Install",1500.4
"11/29/2016","android","Facebook DPA",0
"11/29/2016","android","GDN App Install",11186.46
"11/29/2016","ios","UAC App Install",0
"11/29/2016","ios","inMobi App Install",0
"11/28/2016","ios","Facebook App Install",111.57
"11/28/2016","ios","BBM App Install",76.8
"11/28/2016","android","Facebook DPA",0
"11/28/2016","ios","Facebook DPA",0
"11/28/2016","android","Iron Source App Install",0
"11/28/2016","android","Glispa App Install",1094.5
"11/28/2016","android","UAC App Install",0
"11/28/2016","ios","Instagram App Install",0
"11/28/2016","android","Facebook App Install",3454.06
"11/28/2016","android","inMobi App Install",3504.2
"11/28/2016","android","BBM App Install",813.6
"11/28/2016","ios","UAC App Install",0
"11/28/2016","ios","inMobi App Install",0
"11/28/2016","android","GDN App Install",10730.6
"11/28/2016","ios","GDN App Install",2799.25
"11/28/2016","android","Instagram App Install",0
"11/27/2016","android","UAC App Install",0
"11/27/2016","android","Facebook DPA",0
"11/27/2016","ios","BBM App Install",68.4
"11/27/2016","ios","inMobi App Install",0
"11/27/2016","android","BBM App Install",673.2
"11/27/2016","android","inMobi App Install",2983.4
"11/27/2016","android","Facebook App Install",2706.06
"11/27/2016","ios","Facebook DPA",0
"11/27/2016","ios","UAC App Install",0
"11/27/2016","ios","Instagram App Install",0
"11/27/2016","ios","Facebook App Install",173.87
"11/27/2016","android","GDN App Install",5846.37
"11/27/2016","android","Iron Source App Install",0
"11/27/2016","android","Glispa App Install",738.1
"11/27/2016","android","Instagram App Install",0
"11/27/2016","ios","GDN App Install",2220.25
"11/26/2016","android","Facebook App Install",2748.46
"11/26/2016","ios","GDN App Install",2305.68
"11/26/2016","android","GDN App Install",5816.28
